Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,170.688,-94.361,270.0,bottom
C2,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,165.862,-94.361,270.0,bottom
D1,D,D_SOD-323_HandSoldering,58.42,-82.53,90.0,bottom
D10,D,D_SOD-323_HandSoldering,255.27,-82.53,90.0,bottom
D11,D,D_SOD-323_HandSoldering,274.32,-82.53,90.0,bottom
D12,D,D_SOD-323_HandSoldering,293.37,-82.53,90.0,bottom
D13,D,D_SOD-323_HandSoldering,58.42,-101.58,90.0,bottom
D14,D,D_SOD-323_HandSoldering,77.47,-101.58,90.0,bottom
D15,D,D_SOD-323_HandSoldering,96.52,-101.58,90.0,bottom
D16,D,D_SOD-323_HandSoldering,115.57,-101.58,90.0,bottom
D17,D,D_SOD-323_HandSoldering,134.62,-101.58,90.0,bottom
D18,D,D_SOD-323_HandSoldering,153.67,-101.58,90.0,bottom
D19,D,D_SOD-323_HandSoldering,198.12,-101.58,90.0,bottom
D2,D,D_SOD-323_HandSoldering,77.47,-82.53,90.0,bottom
D20,D,D_SOD-323_HandSoldering,217.17,-101.58,90.0,bottom
D21,D,D_SOD-323_HandSoldering,236.22,-101.58,90.0,bottom
D22,D,D_SOD-323_HandSoldering,255.27,-101.58,90.0,bottom
D23,D,D_SOD-323_HandSoldering,274.32,-101.58,90.0,bottom
D24,D,D_SOD-323_HandSoldering,293.37,-101.58,90.0,bottom
D25,D,D_SOD-323_HandSoldering,58.42,-120.63,90.0,bottom
D26,D,D_SOD-323_HandSoldering,77.47,-120.63,90.0,bottom
D27,D,D_SOD-323_HandSoldering,96.52,-120.63,90.0,bottom
D28,D,D_SOD-323_HandSoldering,115.57,-120.63,90.0,bottom
D29,D,D_SOD-323_HandSoldering,134.62,-120.63,90.0,bottom
D3,D,D_SOD-323_HandSoldering,96.52,-82.53,90.0,bottom
D30,D,D_SOD-323_HandSoldering,153.67,-120.63,90.0,bottom
D31,D,D_SOD-323_HandSoldering,198.12,-120.63,90.0,bottom
D32,D,D_SOD-323_HandSoldering,217.17,-120.63,90.0,bottom
D33,D,D_SOD-323_HandSoldering,236.22,-120.63,90.0,bottom
D34,D,D_SOD-323_HandSoldering,255.27,-120.63,90.0,bottom
D35,D,D_SOD-323_HandSoldering,274.32,-120.63,90.0,bottom
D36,D,D_SOD-323_HandSoldering,293.37,-120.63,90.0,bottom
D37,D,D_SOD-323_HandSoldering,58.42,-139.68,90.0,bottom
D38,D,D_SOD-323_HandSoldering,77.47,-139.68,90.0,bottom
D39,D,D_SOD-323_HandSoldering,96.52,-139.68,90.0,bottom
D4,D,D_SOD-323_HandSoldering,115.57,-82.53,90.0,bottom
D40,D,D_SOD-323_HandSoldering,115.57,-139.68,90.0,bottom
D41,D,D_SOD-323_HandSoldering,134.62,-139.68,90.0,bottom
